client_sk,client_id,valid_from,valid_to,is_current,legal_name,registration_no,onboarding_date,years_in_business,employees_band,turnover_band,segment,kyc_status,relationship_manager_id,geography_sk,industry_sk
53,C000053,3/1/2023,8/2/2025,True,Client 53 (Pty) Ltd,REG0000053,08/03/2020,11,51-100,R5m-R20m,Corporate,Verified,RM089,41,9
54,C000054,3/1/2023,8/2/2025,True,Client 54 (Pty) Ltd,REG0000054,09/25/2022,28,1-20,< R5m,Micro,Verified,RM086,6,6
55,C000055,3/1/2023,8/2/2025,True,Client 55 (Pty) Ltd,REG0000055,02/25/2022,9,21-50,R20m-R100m,Micro,Verified,RM035,30,1
56,C000056,3/1/2023,8/2/2025,True,Client 56 (Pty) Ltd,REG0000056,01/24/2023,14,1-20,R5m-R20m,Corporate,Pending,RM085,32,5
57,C000057,3/1/2023,8/2/2025,True,Client 57 (Pty) Ltd,REG0000057,09/25/2018,4,1-20,< R5m,Micro,Verified,RM013,38,6
58,C000058,3/1/2023,8/2/2025,True,Client 58 (Pty) Ltd,REG0000058,11/09/2020,13,21-50,R5m-R20m,Micro,Verified,RM040,11,1
59,C000059,3/1/2023,8/2/2025,True,Client 59 (Pty) Ltd,REG0000059,10/22/2018,6,51-100,< R5m,Small,Verified,RM081,41,2
60,C000060,3/1/2023,8/2/2025,True,Client 60 (Pty) Ltd,REG0000060,01/18/2019,30,1-20,R20m-R100m,Micro,Rejected,RM006,40,7
61,C000061,3/1/2023,8/2/2025,True,Client 61 (Pty) Ltd,REG0000061,12/31/2021,13,1-20,< R5m,Small,In Review,RM045,29,8
62,C000062,3/1/2023,8/2/2025,True,Client 62 (Pty) Ltd,REG0000062,02/14/2017,25,1000+,R5m-R20m,Small,Verified,RM034,48,9
63,C000063,3/1/2023,8/2/2025,True,Client 63 (Pty) Ltd,REG0000063,02/04/2015,3,1-20,< R5m,Medium,Verified,RM013,33,2
64,C000064,3/1/2023,8/2/2025,True,Client 64 (Pty) Ltd,REG0000064,03/03/2021,23,1-20,< R5m,Micro,Verified,RM015,2,9
65,C000065,3/1/2023,8/2/2025,True,Client 65 (Pty) Ltd,REG0000065,05/09/2020,7,1-20,R100m-R500m,Micro,In Review,RM065,13,1
66,C000066,3/1/2023,8/2/2025,True,Client 66 (Pty) Ltd,REG0000066,05/05/2019,1,51-100,< R5m,Corporate,Verified,RM082,40,10
67,C000067,3/1/2023,8/2/2025,True,Client 67 (Pty) Ltd,REG0000067,10/18/2017,11,21-50,< R5m,Micro,Verified,RM011,6,2
68,C000068,3/1/2023,8/2/2025,True,Client 68 (Pty) Ltd,REG0000068,02/26/2022,2,1-20,R20m-R100m,Small,Verified,RM049,20,5
69,C000069,3/1/2023,8/2/2025,True,Client 69 (Pty) Ltd,REG0000069,02/03/2018,5,51-100,< R5m,Micro,Verified,RM044,35,4
70,C000070,3/1/2023,8/2/2025,True,Client 70 (Pty) Ltd,REG0000070,02/09/2019,24,21-50,R5m-R20m,Medium,Verified,RM092,41,2
71,C000071,3/1/2023,8/2/2025,True,Client 71 (Pty) Ltd,REG0000071,12/03/2016,22,21-50,R20m-R100m,Small,Pending,RM004,11,8
72,C000072,3/1/2023,8/2/2025,True,Client 72 (Pty) Ltd,REG0000072,09/15/2021,30,1000+,R20m-R100m,Medium,Verified,RM033,18,2
73,C000073,3/1/2023,8/2/2025,True,Client 73 (Pty) Ltd,REG0000073,08/09/2022,14,1-20,< R5m,Medium,Verified,RM097,12,1
74,C000074,3/1/2023,8/2/2025,True,Client 74 (Pty) Ltd,REG0000074,04/29/2019,29,251-500,< R5m,Medium,Verified,RM064,40,7
75,C000075,3/1/2023,8/2/2025,True,Client 75 (Pty) Ltd,REG0000075,06/11/2015,13,101-250,R5m-R20m,Small,Verified,RM047,10,5
76,C000076,3/1/2023,8/2/2025,True,Client 76 (Pty) Ltd,REG0000076,07/21/2015,16,21-50,< R5m,Small,Verified,RM015,12,6
77,C000077,3/1/2023,8/2/2025,True,Client 77 (Pty) Ltd,REG0000077,06/04/2020,23,251-500,R20m-R100m,Small,In Review,RM037,14,6
78,C000078,3/1/2023,8/2/2025,True,Client 78 (Pty) Ltd,REG0000078,09/22/2017,15,51-100,< R5m,Medium,Pending,RM095,29,5
79,C000079,3/1/2023,8/2/2025,True,Client 79 (Pty) Ltd,REG0000079,05/06/2021,3,251-500,< R5m,Micro,Verified,RM088,9,4
80,C000080,3/1/2023,8/2/2025,True,Client 80 (Pty) Ltd,REG0000080,03/26/2017,6,21-50,R100m-R500m,Medium,Verified,RM072,17,10
81,C000081,3/1/2023,8/2/2025,True,Client 81 (Pty) Ltd,REG0000081,03/31/2016,9,1-20,< R5m,Micro,Verified,RM053,3,1
82,C000082,3/1/2023,8/2/2025,True,Client 82 (Pty) Ltd,REG0000082,06/29/2018,3,21-50,< R5m,Corporate,Verified,RM097,36,10
83,C000083,3/1/2023,8/2/2025,True,Client 83 (Pty) Ltd,REG0000083,10/13/2017,30,1-20,< R5m,Small,Rejected,RM047,28,2
84,C000084,3/1/2023,8/2/2025,True,Client 84 (Pty) Ltd,REG0000084,06/01/2021,13,1-20,R5m-R20m,Small,Verified,RM017,46,3
85,C000085,3/1/2023,8/2/2025,True,Client 85 (Pty) Ltd,REG0000085,07/30/2022,29,51-100,< R5m,Small,Verified,RM066,16,5
86,C000086,3/1/2023,8/2/2025,True,Client 86 (Pty) Ltd,REG0000086,12/04/2015,13,501-1000,R20m-R100m,Micro,Verified,RM029,42,9
87,C000087,3/1/2023,8/2/2025,True,Client 87 (Pty) Ltd,REG0000087,05/28/2017,22,21-50,< R5m,Corporate,Verified,RM069,44,9
88,C000088,3/1/2023,8/2/2025,True,Client 88 (Pty) Ltd,REG0000088,12/12/2017,7,101-250,< R5m,Medium,Pending,RM062,5,6
89,C000089,3/1/2023,8/2/2025,True,Client 89 (Pty) Ltd,REG0000089,03/02/2017,5,1-20,< R5m,Medium,Pending,RM042,7,8
90,C000090,3/1/2023,8/2/2025,True,Client 90 (Pty) Ltd,REG0000090,03/14/2021,26,51-100,< R5m,Medium,Verified,RM096,32,10
91,C000091,3/1/2023,8/2/2025,True,Client 91 (Pty) Ltd,REG0000091,02/02/2017,29,51-100,< R5m,Small,Verified,RM052,21,3
92,C000092,3/1/2023,8/2/2025,True,Client 92 (Pty) Ltd,REG0000092,02/13/2021,8,1-20,< R5m,Small,Verified,RM032,3,8
93,C000093,3/1/2023,8/2/2025,True,Client 93 (Pty) Ltd,REG0000093,01/15/2016,8,1-20,R500m+,Corporate,Verified,RM059,48,7
94,C000094,3/1/2023,8/2/2025,True,Client 94 (Pty) Ltd,REG0000094,05/07/2016,22,101-250,R20m-R100m,Micro,Verified,RM038,1,1
95,C000095,3/1/2023,8/2/2025,True,Client 95 (Pty) Ltd,REG0000095,03/26/2018,7,21-50,R20m-R100m,Small,Verified,RM018,23,6
96,C000096,3/1/2023,8/2/2025,True,Client 96 (Pty) Ltd,REG0000096,08/24/2020,19,21-50,R20m-R100m,Micro,Verified,RM075,1,3
97,C000097,3/1/2023,8/2/2025,True,Client 97 (Pty) Ltd,REG0000097,03/06/2015,29,251-500,< R5m,Micro,Verified,RM028,44,9
98,C000098,3/1/2023,8/2/2025,True,Client 98 (Pty) Ltd,REG0000098,01/12/2022,7,1000+,< R5m,Micro,Verified,RM026,46,5
99,C000099,3/1/2023,8/2/2025,True,Client 99 (Pty) Ltd,REG0000099,09/29/2018,23,101-250,R5m-R20m,Micro,Verified,RM037,33,7
100,C000100,3/1/2023,8/2/2025,True,Client 100 (Pty) Ltd,REG0000100,02/26/2018,4,101-250,R5m-R20m,Micro,Verified,RM052,13,8
101,C000101,3/1/2023,8/2/2025,True,Client 101 (Pty) Ltd,REG0000101,07/20/2020,10,1-20,< R5m,Micro,Verified,RM041,3,8
102,C000102,3/1/2023,8/2/2025,True,Client 102 (Pty) Ltd,REG0000102,05/19/2022,30,1-20,R100m-R500m,Micro,Verified,RM044,35,7
103,C000103,3/1/2023,8/2/2025,True,Client 103 (Pty) Ltd,REG0000103,02/04/2019,13,1000+,< R5m,Small,Verified,RM064,8,6
104,C000104,3/1/2023,8/2/2025,True,Client 104 (Pty) Ltd,REG0000104,03/08/2018,4,51-100,R20m-R100m,Micro,Verified,RM022,31,4
105,C000105,3/1/2023,8/2/2025,True,Client 105 (Pty) Ltd,REG0000105,03/03/2019,30,51-100,< R5m,Micro,Verified,RM092,44,7
106,C000106,3/1/2023,8/2/2025,True,Client 106 (Pty) Ltd,REG0000106,03/25/2022,19,1-20,< R5m,Micro,Verified,RM069,34,10
107,C000107,3/1/2023,8/2/2025,True,Client 107 (Pty) Ltd,REG0000107,01/27/2016,10,251-500,< R5m,Small,Verified,RM067,22,10
108,C000108,3/1/2023,8/2/2025,True,Client 108 (Pty) Ltd,REG0000108,08/26/2019,7,1-20,< R5m,Micro,Verified,RM035,2,9
109,C000109,3/1/2023,8/2/2025,True,Client 109 (Pty) Ltd,REG0000109,02/23/2016,5,1-20,R500m+,Small,Verified,RM046,15,7
110,C000110,3/1/2023,8/2/2025,True,Client 110 (Pty) Ltd,REG0000110,05/25/2021,3,1-20,R20m-R100m,Micro,In Review,RM098,36,8
111,C000111,3/1/2023,8/2/2025,True,Client 111 (Pty) Ltd,REG0000111,01/14/2016,22,51-100,< R5m,Corporate,Verified,RM045,25,7
112,C000112,3/1/2023,8/2/2025,True,Client 112 (Pty) Ltd,REG0000112,12/02/2019,28,51-100,R500m+,Micro,Pending,RM079,27,10
113,C000113,3/1/2023,8/2/2025,True,Client 113 (Pty) Ltd,REG0000113,03/28/2021,22,21-50,< R5m,Micro,Verified,RM023,24,2
114,C000114,3/1/2023,8/2/2025,True,Client 114 (Pty) Ltd,REG0000114,09/19/2020,22,1-20,R5m-R20m,Micro,Verified,RM059,2,10
115,C000115,3/1/2023,8/2/2025,True,Client 115 (Pty) Ltd,REG0000115,12/22/2020,2,251-500,< R5m,Small,Verified,RM035,35,7
116,C000116,3/1/2023,8/2/2025,True,Client 116 (Pty) Ltd,REG0000116,07/20/2015,29,501-1000,< R5m,Medium,In Review,RM078,19,7
117,C000117,3/1/2023,8/2/2025,True,Client 117 (Pty) Ltd,REG0000117,02/07/2020,11,1-20,< R5m,Small,Verified,RM061,12,1
118,C000118,3/1/2023,8/2/2025,True,Client 118 (Pty) Ltd,REG0000118,02/18/2017,10,101-250,< R5m,Medium,Verified,RM087,44,1
119,C000119,3/1/2023,8/2/2025,True,Client 119 (Pty) Ltd,REG0000119,02/25/2023,28,501-1000,< R5m,Corporate,Verified,RM009,35,2
120,C000120,3/1/2023,8/2/2025,True,Client 120 (Pty) Ltd,REG0000120,05/17/2016,23,1-20,< R5m,Small,Verified,RM015,14,10
121,C000121,3/1/2023,8/2/2025,True,Client 121 (Pty) Ltd,REG0000121,09/20/2021,13,1-20,< R5m,Micro,Verified,RM044,37,7
122,C000122,3/1/2023,8/2/2025,True,Client 122 (Pty) Ltd,REG0000122,10/18/2019,7,501-1000,R5m-R20m,Micro,Verified,RM044,15,1
123,C000123,3/1/2023,8/2/2025,True,Client 123 (Pty) Ltd,REG0000123,03/15/2017,10,1-20,< R5m,Small,Verified,RM044,43,8
124,C000124,3/1/2023,8/2/2025,True,Client 124 (Pty) Ltd,REG0000124,11/16/2020,28,1-20,< R5m,Medium,Verified,RM073,36,3
125,C000125,3/1/2023,8/2/2025,True,Client 125 (Pty) Ltd,REG0000125,06/24/2022,4,51-100,R5m-R20m,Micro,Pending,RM032,49,3
126,C000126,3/1/2023,8/2/2025,True,Client 126 (Pty) Ltd,REG0000126,03/10/2020,27,51-100,< R5m,Enterprise,Verified,RM058,21,1
127,C000127,3/1/2023,8/2/2025,True,Client 127 (Pty) Ltd,REG0000127,08/05/2022,22,51-100,< R5m,Micro,Verified,RM062,21,7
128,C000128,3/1/2023,8/2/2025,True,Client 128 (Pty) Ltd,REG0000128,04/20/2019,20,51-100,R20m-R100m,Micro,Verified,RM017,19,5
129,C000129,3/1/2023,8/2/2025,True,Client 129 (Pty) Ltd,REG0000129,08/18/2017,16,51-100,R100m-R500m,Small,In Review,RM060,28,10
130,C000130,3/1/2023,8/2/2025,True,Client 130 (Pty) Ltd,REG0000130,04/14/2022,20,1-20,< R5m,Micro,Verified,RM067,19,10
131,C000131,3/1/2023,8/2/2025,True,Client 131 (Pty) Ltd,REG0000131,01/25/2019,6,1-20,R5m-R20m,Small,Pending,RM053,40,5
132,C000132,3/1/2023,8/2/2025,True,Client 132 (Pty) Ltd,REG0000132,05/14/2022,9,21-50,R20m-R100m,Micro,Rejected,RM062,47,7
133,C000133,3/1/2023,8/2/2025,True,Client 133 (Pty) Ltd,REG0000133,10/25/2017,28,101-250,R100m-R500m,Micro,Verified,RM047,41,8
134,C000134,3/1/2023,8/2/2025,True,Client 134 (Pty) Ltd,REG0000134,05/17/2016,13,501-1000,R100m-R500m,Small,In Review,RM076,49,8
135,C000135,3/1/2023,8/2/2025,True,Client 135 (Pty) Ltd,REG0000135,09/15/2022,7,21-50,R100m-R500m,Corporate,Verified,RM038,30,2
136,C000136,3/1/2023,8/2/2025,True,Client 136 (Pty) Ltd,REG0000136,02/02/2016,18,1-20,R20m-R100m,Micro,Verified,RM059,20,5
137,C000137,3/1/2023,8/2/2025,True,Client 137 (Pty) Ltd,REG0000137,05/20/2017,14,501-1000,< R5m,Micro,Verified,RM033,25,5
138,C000138,3/1/2023,8/2/2025,True,Client 138 (Pty) Ltd,REG0000138,10/13/2022,22,1-20,R5m-R20m,Medium,Verified,RM064,2,4
139,C000139,3/1/2023,8/2/2025,True,Client 139 (Pty) Ltd,REG0000139,01/28/2016,30,1-20,R20m-R100m,Corporate,Verified,RM097,38,3
140,C000140,3/1/2023,8/2/2025,True,Client 140 (Pty) Ltd,REG0000140,07/26/2015,5,251-500,< R5m,Micro,Rejected,RM027,16,10
141,C000141,3/1/2023,8/2/2025,True,Client 141 (Pty) Ltd,REG0000141,11/04/2017,22,21-50,< R5m,Small,Verified,RM015,40,8
142,C000142,3/1/2023,8/2/2025,True,Client 142 (Pty) Ltd,REG0000142,02/25/2020,13,21-50,R5m-R20m,Enterprise,Verified,RM068,16,4
143,C000143,3/1/2023,8/2/2025,True,Client 143 (Pty) Ltd,REG0000143,01/18/2023,24,501-1000,R5m-R20m,Medium,Verified,RM030,31,6
144,C000144,3/1/2023,8/2/2025,True,Client 144 (Pty) Ltd,REG0000144,01/24/2019,8,501-1000,R20m-R100m,Small,Verified,RM081,8,10
145,C000145,3/1/2023,8/2/2025,True,Client 145 (Pty) Ltd,REG0000145,05/13/2017,15,1-20,< R5m,Micro,Pending,RM041,4,7
146,C000146,3/1/2023,8/2/2025,True,Client 146 (Pty) Ltd,REG0000146,08/22/2022,19,251-500,R100m-R500m,Small,Pending,RM067,6,3
147,C000147,3/1/2023,8/2/2025,True,Client 147 (Pty) Ltd,REG0000147,07/17/2016,9,51-100,< R5m,Corporate,In Review,RM058,28,4
148,C000148,3/1/2023,8/2/2025,True,Client 148 (Pty) Ltd,REG0000148,10/17/2017,6,1-20,< R5m,Medium,Pending,RM098,19,8
149,C000149,3/1/2023,8/2/2025,True,Client 149 (Pty) Ltd,REG0000149,04/06/2015,23,501-1000,< R5m,Micro,Verified,RM093,45,10
150,C000150,3/1/2023,8/2/2025,True,Client 150 (Pty) Ltd,REG0000150,04/07/2020,25,1-20,R20m-R100m,Small,Verified,RM016,44,7
151,C000151,3/1/2023,8/2/2025,True,Client 151 (Pty) Ltd,REG0000151,10/24/2019,14,1-20,< R5m,Medium,Pending,RM089,8,2
152,C000152,3/1/2023,8/2/2025,True,Client 152 (Pty) Ltd,REG0000152,12/07/2021,29,21-50,< R5m,Micro,Verified,RM011,48,9
153,C000153,3/1/2023,8/2/2025,True,Client 153 (Pty) Ltd,REG0000153,03/28/2021,23,51-100,R100m-R500m,Medium,Verified,RM089,16,9
154,C000154,3/1/2023,8/2/2025,True,Client 154 (Pty) Ltd,REG0000154,08/28/2022,10,1-20,< R5m,Medium,Verified,RM077,35,2
155,C000155,3/1/2023,8/2/2025,True,Client 155 (Pty) Ltd,REG0000155,08/06/2019,9,251-500,< R5m,Micro,Verified,RM067,34,3
156,C000156,3/1/2023,8/2/2025,True,Client 156 (Pty) Ltd,REG0000156,06/24/2016,17,51-100,< R5m,Medium,Verified,RM020,15,4
157,C000157,3/1/2023,8/2/2025,True,Client 157 (Pty) Ltd,REG0000157,11/25/2017,13,1-20,R100m-R500m,Small,Verified,RM021,18,1
158,C000158,3/1/2023,8/2/2025,True,Client 158 (Pty) Ltd,REG0000158,01/16/2022,17,51-100,R20m-R100m,Micro,In Review,RM049,14,9
159,C000159,3/1/2023,8/2/2025,True,Client 159 (Pty) Ltd,REG0000159,03/29/2018,19,21-50,< R5m,Small,Rejected,RM015,44,5
160,C000160,3/1/2023,8/2/2025,True,Client 160 (Pty) Ltd,REG0000160,09/19/2019,13,1-20,< R5m,Small,Verified,RM072,5,2
161,C000161,3/1/2023,8/2/2025,True,Client 161 (Pty) Ltd,REG0000161,12/25/2019,9,1-20,R100m-R500m,Micro,Rejected,RM039,48,3
162,C000162,3/1/2023,8/2/2025,True,Client 162 (Pty) Ltd,REG0000162,03/10/2022,1,21-50,< R5m,Small,Verified,RM053,12,6
163,C000163,3/1/2023,8/2/2025,True,Client 163 (Pty) Ltd,REG0000163,06/22/2022,1,1-20,< R5m,Micro,Verified,RM094,8,7
164,C000164,3/1/2023,8/2/2025,True,Client 164 (Pty) Ltd,REG0000164,02/17/2022,5,101-250,< R5m,Micro,Pending,RM018,12,10
165,C000165,3/1/2023,8/2/2025,True,Client 165 (Pty) Ltd,REG0000165,05/17/2019,8,1-20,R100m-R500m,Enterprise,Verified,RM072,36,8
166,C000166,3/1/2023,8/2/2025,True,Client 166 (Pty) Ltd,REG0000166,05/17/2022,18,21-50,R20m-R100m,Micro,Verified,RM010,28,10
167,C000167,3/1/2023,8/2/2025,True,Client 167 (Pty) Ltd,REG0000167,03/06/2017,4,21-50,< R5m,Micro,In Review,RM040,30,4
168,C000168,3/1/2023,8/2/2025,True,Client 168 (Pty) Ltd,REG0000168,11/17/2017,22,21-50,R5m-R20m,Enterprise,Verified,RM056,40,9
169,C000169,3/1/2023,8/2/2025,True,Client 169 (Pty) Ltd,REG0000169,07/02/2019,1,1-20,R100m-R500m,Medium,Verified,RM059,20,6
170,C000170,3/1/2023,8/2/2025,True,Client 170 (Pty) Ltd,REG0000170,09/25/2018,15,1-20,R20m-R100m,Small,In Review,RM019,28,9
171,C000171,3/1/2023,8/2/2025,True,Client 171 (Pty) Ltd,REG0000171,06/04/2020,20,1-20,R5m-R20m,Medium,In Review,RM073,30,9
172,C000172,3/1/2023,8/2/2025,True,Client 172 (Pty) Ltd,REG0000172,09/16/2018,4,21-50,R100m-R500m,Micro,Verified,RM073,28,7
173,C000173,3/1/2023,8/2/2025,True,Client 173 (Pty) Ltd,REG0000173,07/22/2019,25,1-20,< R5m,Corporate,Verified,RM051,17,3
174,C000174,3/1/2023,8/2/2025,True,Client 174 (Pty) Ltd,REG0000174,03/10/2019,9,1-20,R5m-R20m,Micro,Verified,RM092,2,6
175,C000175,3/1/2023,8/2/2025,True,Client 175 (Pty) Ltd,REG0000175,07/31/2020,22,1-20,< R5m,Micro,Verified,RM019,49,6
176,C000176,3/1/2023,8/2/2025,True,Client 176 (Pty) Ltd,REG0000176,02/05/2019,24,101-250,R5m-R20m,Medium,Verified,RM031,16,5
