date_sk,date,day,month,month_name,quarter,year,day_of_week,day_name,is_weekend,is_holiday
20231009,2023-10-09,9,10,October,4,2023,0,Monday,0,1
20231010,2023-10-10,10,10,October,4,2023,1,Tuesday,0,0
20231011,2023-10-11,11,10,October,4,2023,2,Wednesday,0,0
20231012,2023-10-12,12,10,October,4,2023,3,Thursday,0,0
20231013,2023-10-13,13,10,October,4,2023,4,Friday,0,0
20231014,2023-10-14,14,10,October,4,2023,5,Saturday,1,0
20231015,2023-10-15,15,10,October,4,2023,6,Sunday,1,0
20231016,2023-10-16,16,10,October,4,2023,0,Monday,0,0
20231017,2023-10-17,17,10,October,4,2023,1,Tuesday,0,0
20231018,2023-10-18,18,10,October,4,2023,2,Wednesday,0,0
20231019,2023-10-19,19,10,October,4,2023,3,Thursday,0,0
20231020,2023-10-20,20,10,October,4,2023,4,Friday,0,0
20231021,2023-10-21,21,10,October,4,2023,5,Saturday,1,0
20231022,2023-10-22,22,10,October,4,2023,6,Sunday,1,0
20231023,2023-10-23,23,10,October,4,2023,0,Monday,0,0
20231024,2023-10-24,24,10,October,4,2023,1,Tuesday,0,0
20231025,2023-10-25,25,10,October,4,2023,2,Wednesday,0,0
20231026,2023-10-26,26,10,October,4,2023,3,Thursday,0,0
20231027,2023-10-27,27,10,October,4,2023,4,Friday,0,0
20231028,2023-10-28,28,10,October,4,2023,5,Saturday,1,0
20231029,2023-10-29,29,10,October,4,2023,6,Sunday,1,0
20231030,2023-10-30,30,10,October,4,2023,0,Monday,0,0
20231031,2023-10-31,31,10,October,4,2023,1,Tuesday,0,0
20231101,2023-11-01,1,11,November,4,2023,2,Wednesday,0,0
20231102,2023-11-02,2,11,November,4,2023,3,Thursday,0,0
20231103,2023-11-03,3,11,November,4,2023,4,Friday,0,0
20231104,2023-11-04,4,11,November,4,2023,5,Saturday,1,0
20231105,2023-11-05,5,11,November,4,2023,6,Sunday,1,0
20231106,2023-11-06,6,11,November,4,2023,0,Monday,0,0
20231107,2023-11-07,7,11,November,4,2023,1,Tuesday,0,0
20231108,2023-11-08,8,11,November,4,2023,2,Wednesday,0,0
20231109,2023-11-09,9,11,November,4,2023,3,Thursday,0,0
20231110,2023-11-10,10,11,November,4,2023,4,Friday,0,0
20231111,2023-11-11,11,11,November,4,2023,5,Saturday,1,1
20231112,2023-11-12,12,11,November,4,2023,6,Sunday,1,0
20231113,2023-11-13,13,11,November,4,2023,0,Monday,0,0
20231114,2023-11-14,14,11,November,4,2023,1,Tuesday,0,0
20231115,2023-11-15,15,11,November,4,2023,2,Wednesday,0,0
20231116,2023-11-16,16,11,November,4,2023,3,Thursday,0,0
20231117,2023-11-17,17,11,November,4,2023,4,Friday,0,0
20231118,2023-11-18,18,11,November,4,2023,5,Saturday,1,0
20231119,2023-11-19,19,11,November,4,2023,6,Sunday,1,0
20231120,2023-11-20,20,11,November,4,2023,0,Monday,0,0
20231121,2023-11-21,21,11,November,4,2023,1,Tuesday,0,0
20231122,2023-11-22,22,11,November,4,2023,2,Wednesday,0,0
20231123,2023-11-23,23,11,November,4,2023,3,Thursday,0,1
20231124,2023-11-24,24,11,November,4,2023,4,Friday,0,0
20231125,2023-11-25,25,11,November,4,2023,5,Saturday,1,0
20231126,2023-11-26,26,11,November,4,2023,6,Sunday,1,0
20231127,2023-11-27,27,11,November,4,2023,0,Monday,0,0
20231128,2023-11-28,28,11,November,4,2023,1,Tuesday,0,0
20231129,2023-11-29,29,11,November,4,2023,2,Wednesday,0,0
20231130,2023-11-30,30,11,November,4,2023,3,Thursday,0,0
20231201,2023-12-01,1,12,December,4,2023,4,Friday,0,0
20231202,2023-12-02,2,12,December,4,2023,5,Saturday,1,0
20231203,2023-12-03,3,12,December,4,2023,6,Sunday,1,0
20231204,2023-12-04,4,12,December,4,2023,0,Monday,0,0
20231205,2023-12-05,5,12,December,4,2023,1,Tuesday,0,0
20231206,2023-12-06,6,12,December,4,2023,2,Wednesday,0,0
20231207,2023-12-07,7,12,December,4,2023,3,Thursday,0,0
20231208,2023-12-08,8,12,December,4,2023,4,Friday,0,0
20231209,2023-12-09,9,12,December,4,2023,5,Saturday,1,0
20231210,2023-12-10,10,12,December,4,2023,6,Sunday,1,0
20231211,2023-12-11,11,12,December,4,2023,0,Monday,0,0
20231212,2023-12-12,12,12,December,4,2023,1,Tuesday,0,0
20231213,2023-12-13,13,12,December,4,2023,2,Wednesday,0,0
20231214,2023-12-14,14,12,December,4,2023,3,Thursday,0,0
20231215,2023-12-15,15,12,December,4,2023,4,Friday,0,0
20231216,2023-12-16,16,12,December,4,2023,5,Saturday,1,0
20231217,2023-12-17,17,12,December,4,2023,6,Sunday,1,0
20231218,2023-12-18,18,12,December,4,2023,0,Monday,0,0
20231219,2023-12-19,19,12,December,4,2023,1,Tuesday,0,0
20231220,2023-12-20,20,12,December,4,2023,2,Wednesday,0,0
20231221,2023-12-21,21,12,December,4,2023,3,Thursday,0,0
20231222,2023-12-22,22,12,December,4,2023,4,Friday,0,0
20231223,2023-12-23,23,12,December,4,2023,5,Saturday,1,0
20231224,2023-12-24,24,12,December,4,2023,6,Sunday,1,0
20231225,2023-12-25,25,12,December,4,2023,0,Monday,0,1
20231226,2023-12-26,26,12,December,4,2023,1,Tuesday,0,0
20231227,2023-12-27,27,12,December,4,2023,2,Wednesday,0,0
20231228,2023-12-28,28,12,December,4,2023,3,Thursday,0,0
20231229,2023-12-29,29,12,December,4,2023,4,Friday,0,0
20231230,2023-12-30,30,12,December,4,2023,5,Saturday,1,0
20231231,2023-12-31,31,12,December,4,2023,6,Sunday,1,0
20240101,2024-01-01,1,1,January,1,2024,0,Monday,0,1
20240102,2024-01-02,2,1,January,1,2024,1,Tuesday,0,0
20240103,2024-01-03,3,1,January,1,2024,2,Wednesday,0,0
20240104,2024-01-04,4,1,January,1,2024,3,Thursday,0,0
20240105,2024-01-05,5,1,January,1,2024,4,Friday,0,0
20240106,2024-01-06,6,1,January,1,2024,5,Saturday,1,0
20240107,2024-01-07,7,1,January,1,2024,6,Sunday,1,0
20240108,2024-01-08,8,1,January,1,2024,0,Monday,0,0
20240109,2024-01-09,9,1,January,1,2024,1,Tuesday,0,0
20240110,2024-01-10,10,1,January,1,2024,2,Wednesday,0,0
20240111,2024-01-11,11,1,January,1,2024,3,Thursday,0,0
20240112,2024-01-12,12,1,January,1,2024,4,Friday,0,0
20240113,2024-01-13,13,1,January,1,2024,5,Saturday,1,0
20240114,2024-01-14,14,1,January,1,2024,6,Sunday,1,0
20240115,2024-01-15,15,1,January,1,2024,0,Monday,0,1
20240116,2024-01-16,16,1,January,1,2024,1,Tuesday,0,0
20240117,2024-01-17,17,1,January,1,2024,2,Wednesday,0,0
20240118,2024-01-18,18,1,January,1,2024,3,Thursday,0,0
20240119,2024-01-19,19,1,January,1,2024,4,Friday,0,0
20240120,2024-01-20,20,1,January,1,2024,5,Saturday,1,0
20240121,2024-01-21,21,1,January,1,2024,6,Sunday,1,0
20240122,2024-01-22,22,1,January,1,2024,0,Monday,0,0
20240123,2024-01-23,23,1,January,1,2024,1,Tuesday,0,0
20240124,2024-01-24,24,1,January,1,2024,2,Wednesday,0,0
20240125,2024-01-25,25,1,January,1,2024,3,Thursday,0,0
20240126,2024-01-26,26,1,January,1,2024,4,Friday,0,0
20240127,2024-01-27,27,1,January,1,2024,5,Saturday,1,0
20240128,2024-01-28,28,1,January,1,2024,6,Sunday,1,0
20240129,2024-01-29,29,1,January,1,2024,0,Monday,0,0
20240130,2024-01-30,30,1,January,1,2024,1,Tuesday,0,0
20240131,2024-01-31,31,1,January,1,2024,2,Wednesday,0,0
20240201,2024-02-01,1,2,February,1,2024,3,Thursday,0,0
20240202,2024-02-02,2,2,February,1,2024,4,Friday,0,0
20240203,2024-02-03,3,2,February,1,2024,5,Saturday,1,0
20240204,2024-02-04,4,2,February,1,2024,6,Sunday,1,0
20240205,2024-02-05,5,2,February,1,2024,0,Monday,0,0
20240206,2024-02-06,6,2,February,1,2024,1,Tuesday,0,0
20240207,2024-02-07,7,2,February,1,2024,2,Wednesday,0,0
20240208,2024-02-08,8,2,February,1,2024,3,Thursday,0,0
20240209,2024-02-09,9,2,February,1,2024,4,Friday,0,0
20240210,2024-02-10,10,2,February,1,2024,5,Saturday,1,0
20240211,2024-02-11,11,2,February,1,2024,6,Sunday,1,0
20240212,2024-02-12,12,2,February,1,2024,0,Monday,0,0
20240213,2024-02-13,13,2,February,1,2024,1,Tuesday,0,0
20240214,2024-02-14,14,2,February,1,2024,2,Wednesday,0,0
20240215,2024-02-15,15,2,February,1,2024,3,Thursday,0,0
20240216,2024-02-16,16,2,February,1,2024,4,Friday,0,0
20240217,2024-02-17,17,2,February,1,2024,5,Saturday,1,0
20240218,2024-02-18,18,2,February,1,2024,6,Sunday,1,0
20240219,2024-02-19,19,2,February,1,2024,0,Monday,0,1
20240220,2024-02-20,20,2,February,1,2024,1,Tuesday,0,0
20240221,2024-02-21,21,2,February,1,2024,2,Wednesday,0,0
20240222,2024-02-22,22,2,February,1,2024,3,Thursday,0,0
20240223,2024-02-23,23,2,February,1,2024,4,Friday,0,0
20240224,2024-02-24,24,2,February,1,2024,5,Saturday,1,0
20240225,2024-02-25,25,2,February,1,2024,6,Sunday,1,0
